MOF,Ground_State_Energy
str_m2_o10_o25_pcu_sym.73.cif,-1.4422205101508188
str_m2_o10_o26_pcu_sym.101.cif,-1.4422205101855925
str_m2_o10_o26_pcu_sym.109.cif,-1.4422205101855723
str_m2_o10_o26_pcu_sym.111.cif,-1.4422205101177146
str_m2_o10_o26_pcu_sym.113.cif,-1.442220510185595
str_m2_o10_o26_pcu_sym.116.cif,-1.4422205101787746
str_m2_o10_o26_pcu_sym.119.cif,-1.4422205101648846
str_m2_o10_o26_pcu_sym.133.cif,-1.4422205100468555
str_m2_o10_o26_pcu_sym.142.cif,-1.4422205101783945
str_m2_o10_o26_pcu_sym.145.cif,-1.4422205101855932
str_m2_o10_o26_pcu_sym.156.cif,-1.4422205101360897
str_m2_o10_o26_pcu_sym.159.cif,-1.442220510184897
str_m2_o10_o26_pcu_sym.167.cif,-1.4422205101836107
str_m2_o10_o26_pcu_sym.181.cif,-1.4422205101820231
str_m2_o10_o26_pcu_sym.188.cif,-1.4422205101852097
str_m2_o10_o26_pcu_sym.201.cif,-1.4422205101776018
str_m2_o10_o26_pcu_sym.202.cif,-1.442220510109809
str_m2_o10_o26_pcu_sym.205.cif,-1.442220510178947
str_m2_o10_o26_pcu_sym.223.cif,-1.442220510182742
str_m2_o10_o26_pcu_sym.34.cif,-1.4422205101823153
str_m2_o10_o26_pcu_sym.53.cif,-1.4422205101841643
str_m2_o10_o26_pcu_sym.77.cif,-1.4422205101689185
str_m2_o10_o26_pcu_sym.78.cif,-1.4422205098911118
str_m2_o10_o26_pcu_sym.87.cif,-1.4422205101855834
str_m2_o10_o26_pcu_sym.9.cif,-1.4422205101648222
str_m2_o10_o26_pcu_sym.90.cif,-1.4422205101853138
str_m2_o10_o26_pcu_sym.92.cif,-1.4422205101771384
str_m2_o10_o27_pcu_sym.125.cif,-1.4422205101841117
str_m2_o10_o27_pcu_sym.14.cif,-1.4422205101752268
str_m2_o10_o27_pcu_sym.142.cif,-1.4422205101722325
str_m2_o10_o27_pcu_sym.163.cif,-1.4422205101855878
str_m2_o10_o27_pcu_sym.183.cif,-1.4422205101839307
str_m2_o10_o27_pcu_sym.200.cif,-1.4422205098541596
str_m2_o10_o27_pcu_sym.204.cif,-1.442220510184341
str_m2_o10_o27_pcu_sym.214.cif,-1.442220510185539
str_m2_o10_o27_pcu_sym.228.cif,-1.4422205101559729
str_m2_o10_o27_pcu_sym.27.cif,-1.4422205101673238
str_m2_o10_o28_pcu_sym.1.cif,-1.4422205101340553
str_m2_o10_o28_pcu_sym.10.cif,-1.4422205101855776
str_m2_o10_o28_pcu_sym.101.cif,-1.4422205101796348
str_m2_o10_o28_pcu_sym.105.cif,-1.4422205101855898
str_m2_o10_o28_pcu_sym.106.cif,-1.4422205101855747
str_m2_o10_o28_pcu_sym.107.cif,-1.4422205101855954
str_m2_o10_o28_pcu_sym.109.cif,-1.4422205101743009
str_m2_o10_o28_pcu_sym.11.cif,-1.4422205099738603
str_m2_o10_o28_pcu_sym.110.cif,-1.442220510185588
str_m2_o10_o28_pcu_sym.114.cif,-1.4422205101855041
str_m2_o10_o28_pcu_sym.116.cif,-1.4422205101117096
str_m2_o10_o28_pcu_sym.119.cif,-1.442220510139895
str_m2_o10_o28_pcu_sym.12.cif,-1.4422205101855932
str_m2_o10_o28_pcu_sym.120.cif,-1.442220510185591
str_m2_o10_o28_pcu_sym.122.cif,-1.4422205101855363
str_m2_o10_o28_pcu_sym.125.cif,-1.4422205101855807
str_m2_o10_o28_pcu_sym.127.cif,-1.4422205101566181
str_m2_o10_o28_pcu_sym.128.cif,-1.4422205101584125
str_m2_o10_o28_pcu_sym.13.cif,-1.4422205101472465
str_m2_o10_o28_pcu_sym.131.cif,-1.442220510185533
str_m2_o10_o28_pcu_sym.132.cif,-1.4422205101640366
str_m2_o10_o28_pcu_sym.135.cif,-1.4422205101230867
str_m2_o10_o28_pcu_sym.136.cif,-1.442220510146028
str_m2_o10_o28_pcu_sym.137.cif,-1.4422205101396965
str_m2_o10_o28_pcu_sym.138.cif,-1.4422205101855914
str_m2_o10_o28_pcu_sym.143.cif,-1.4422205101570271
str_m2_o10_o28_pcu_sym.144.cif,-1.4422205101658203
str_m2_o10_o28_pcu_sym.145.cif,-1.4422205101816812
str_m2_o10_o28_pcu_sym.146.cif,-1.4422205101844054
str_m2_o10_o28_pcu_sym.147.cif,-1.4422205101728904
str_m2_o10_o28_pcu_sym.148.cif,-1.442220510183775
str_m2_o10_o28_pcu_sym.15.cif,-1.442220510171903
str_m2_o10_o28_pcu_sym.150.cif,-1.4422205101837293
str_m2_o10_o28_pcu_sym.156.cif,-1.44222051018194
str_m2_o10_o28_pcu_sym.157.cif,-1.4422205101607724
str_m2_o10_o28_pcu_sym.158.cif,-1.4422205101838892
str_m2_o10_o28_pcu_sym.16.cif,-1.4422205101855865
str_m2_o10_o28_pcu_sym.161.cif,-1.4422205101855892
str_m2_o10_o28_pcu_sym.163.cif,-1.442220510183872
str_m2_o10_o28_pcu_sym.164.cif,-1.4422205101805419
str_m2_o10_o28_pcu_sym.166.cif,-1.4422205101768684
str_m2_o10_o28_pcu_sym.169.cif,-1.442220510020409
str_m2_o10_o28_pcu_sym.17.cif,-1.4422205101357837
str_m2_o10_o28_pcu_sym.170.cif,-1.4422205101854089
str_m2_o10_o28_pcu_sym.171.cif,-1.44222051018556
str_m2_o10_o28_pcu_sym.173.cif,-1.4422205101737355
str_m2_o10_o28_pcu_sym.174.cif,-1.4422205101794727
str_m2_o10_o28_pcu_sym.176.cif,-1.4422205101477035
str_m2_o10_o28_pcu_sym.178.cif,-1.4422205101640004
str_m2_o10_o28_pcu_sym.179.cif,-1.4422205101850776
str_m2_o10_o28_pcu_sym.18.cif,-1.4422205101855763
str_m2_o10_o28_pcu_sym.180.cif,-1.4422205101408225
str_m2_o10_o28_pcu_sym.181.cif,-1.4422205101778531
str_m2_o10_o28_pcu_sym.185.cif,-1.4422205101850112
str_m2_o10_o28_pcu_sym.186.cif,-1.4422205101855936
str_m2_o10_o28_pcu_sym.188.cif,-1.4422205101709478
str_m2_o10_o28_pcu_sym.189.cif,-1.4422205101852086
str_m2_o10_o28_pcu_sym.19.cif,-1.4422205101615968
str_m2_o10_o28_pcu_sym.191.cif,-1.4422205101801895
str_m2_o10_o28_pcu_sym.193.cif,-1.4422205101837098
str_m2_o10_o28_pcu_sym.195.cif,-1.4422205101855208
str_m2_o10_o28_pcu_sym.196.cif,-1.442220510133202
str_m2_o10_o28_pcu_sym.197.cif,-1.4422205101843435
str_m2_o10_o28_pcu_sym.20.cif,-1.4422205101277565
str_m2_o10_o28_pcu_sym.200.cif,-1.4422205101853351
str_m2_o10_o28_pcu_sym.201.cif,-1.442220510185594
str_m2_o10_o28_pcu_sym.204.cif,-1.442220510185585
str_m2_o10_o28_pcu_sym.205.cif,-1.442220510184571
str_m2_o10_o28_pcu_sym.206.cif,-1.4422205101830512
str_m2_o10_o28_pcu_sym.207.cif,-1.4422205101855896
str_m2_o10_o28_pcu_sym.209.cif,-1.4422205101855803
